;battCharge;battDischarge;batteryCapacity;dateTime;id;loadCons;loadGrid;loadProd;newGrid;prices;prodUsage
131;9.921799999999994;0.278833333333333;13.5;2014-01-06 11:00:00;132;0.278833333333333;-1.92873333333333;2.2076;0.0;0.0504;2.2076
132;11.882416666666657;0.287516666666667;13.5;2014-01-06 12:00:00;133;0.287516666666667;-1.96065;2.24813333333333;0.0;0.0504;2.24813333333333
133;13.209383333333333;0.290616666666667;13.5;2014-01-06 13:00:00;134;0.290616666666667;-2.78648333333333;3.07721666666667;0.0;0.0504;1.617583333333343
134;13.034516666666667;0.465483333333333;13.5;2014-01-06 14:00:00;135;0.465483333333333;-2.53008333333333;2.99553333333333;0.0;0.0504;0.29061666666666675
135;12.720566666666667;0.779433333333333;13.5;2014-01-06 15:00:00;136;0.779433333333333;-1.44661666666667;2.22598333333333;0.0;0.0504;0.46548333333333325
136;12.731133333333332;0.768866666666667;13.5;2014-01-06 16:00:00;137;0.768866666666667;-0.0955666666666667;0.8643;0.0;0.0504;0.7794333333333334
137;12.218916666666665;0.579216666666667;13.5;2014-01-06 17:00:00;138;0.579216666666667;0.501583333333333;0.067;0.0;0.0504;0.067
138;11.694166666666664;0.52475;13.5;2014-01-06 18:00:00;139;0.52475;0.524483333333333;0.0;0.0;0.0504;0.0
139;11.193583333333331;0.500583333333333;13.5;2014-01-06 19:00:00;140;0.500583333333333;0.500183333333333;0.0;0.0;0.0504;0.0
140;10.70368333333333;0.4899;13.5;2014-01-06 20:00:00;141;0.4899;0.489483333333333;0.0;0.0;0.0504;0.0
141;10.216333333333331;0.48735;13.5;2014-01-06 21:00:00;142;0.48735;0.486916666666667;0.0;0.0;0.0504;0.0
142;9.713233333333331;0.5031;13.5;2014-01-06 22:00:00;143;0.5031;0.5026;0.0;0.0;0.0504;0.0
143;9.195683333333331;0.51755;13.5;2014-01-06 23:00:00;144;0.51755;0.517133333333333;0.0;0.0;0.00493;0.0
144;8.703483333333331;0.4922;13.5;2014-01-07 00:00:00;145;0.4922;0.491733333333333;0.0;0.0;0.00493;0.0
145;8.459483333333331;0.244;13.5;2014-01-07 01:00:00;146;0.244;0.244;0.0;0.0;0.00493;0.0
146;8.212516666666664;0.246966666666667;13.5;2014-01-07 02:00:00;147;0.246966666666667;0.246966666666667;0.0;0.0;0.00493;0.0
147;7.953049999999997;0.259466666666667;13.5;2014-01-07 03:00:00;148;0.259466666666667;0.259466666666667;0.0;0.0;0.00493;0.0
